姓名*,工号*,部门*,职务*,任教学科*,周最大课时*,状态*,备注
张老师,TCH001,语文组,教师,"语文,品德与社会",22,TRUE,
李老师,TCH002,数学组,教师,"数学,科学",20,TRUE,
王老师,TCH003,英语组,教师,英语,21,TRUE,
赵老师,TCH004,语文组,教师,语文,20,TRUE,
钱老师,TCH005,数学组,教师,数学,23,TRUE,
孙老师,TCH006,英语组,教师,英语,20,TRUE,
周老师,TCH007,语文组,教师,语文,21,TRUE,
吴老师,TCH008,数学组,教师,数学,22,TRUE,
郑老师,TCH009,英语组,教师,英语,20,TRUE,
冯老师,TCH010,语文组,教师,语文,20,TRUE,
陈老师,TCH011,数学组,教师,数学,21,TRUE,
褚老师,TCH012,英语组,教师,英语,20,TRUE,
卫老师,TCH013,语文组,教师,语文,22,TRUE,
蒋老师,TCH014,数学组,教师,数学,20,TRUE,
沈老师,TCH015,英语组,教师,英语,23,TRUE,
韩老师,TCH016,音乐组,教师,音乐,20,TRUE,
杨老师,TCH017,音乐组,教师,音乐,20,TRUE,
朱老师,TCH018,美术组,教师,美术,20,TRUE,
秦老师,TCH019,美术组,教师,美术,20,TRUE,
尤老师,TCH020,体育组,教师,体育,20,TRUE,
许老师,TCH021,体育组,教师,体育,20,TRUE,
何老师,TCH022,信息技术组,教师,信息技术,20,TRUE,
吕老师,TCH023,信息技术组,教师,信息技术,20,TRUE,
施老师,TCH024,科学组,教师,科学,20,TRUE,
张三,TCH025,科学组,教师,科学,20,TRUE,
